initial,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
merge,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
spawn,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,0
merge,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
spawn,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
merge,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,2
spawn,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,2
merge,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,4
spawn,0,0,0,0,0,0,0,2,0,0,8,2,0,0,0,4
merge,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,4
spawn,0,0,2,0,0,0,0,0,0,0,0,4,0,0,8,4
merge,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8
spawn,0,0,4,0,0,0,0,0,0,0,2,0,0,0,8,8
merge,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,16
spawn,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,16
merge,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,16
spawn,0,0,0,0,0,0,0,4,0,0,0,2,2,2,0,16
merge,0,0,0,0,0,0,0,4,0,0,0,2,0,0,4,16
spawn,0,0,0,0,0,0,0,4,2,0,0,2,0,0,4,16
merge,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,16
spawn,0,0,0,0,0,0,0,4,0,2,0,4,0,0,4,16
merge,0,0,0,0,0,0,0,4,0,0,2,4,0,0,4,16
spawn,4,0,0,0,0,0,0,4,0,0,2,4,0,0,4,16
merge,0,0,0,4,0,0,0,4,0,0,2,4,0,0,4,16
spawn,0,0,0,4,0,0,0,4,0,0,2,4,0,2,4,16
merge,0,0,0,0,0,0,0,4,0,0,2,8,0,2,4,16
spawn,0,0,0,0,0,0,0,4,0,2,2,8,0,2,4,16
merge,0,0,0,0,0,0,0,4,0,0,4,8,0,2,4,16
spawn,0,0,4,0,0,0,0,4,0,0,4,8,0,2,4,16
merge,0,0,0,4,0,0,0,4,0,0,4,8,0,2,4,16
spawn,0,2,0,4,0,0,0,4,0,0,4,8,0,2,4,16
merge,0,0,2,4,0,0,0,4,0,0,4,8,0,2,4,16
spawn,0,2,2,4,0,0,0,4,0,0,4,8,0,2,4,16
merge,0,0,0,0,0,0,0,8,0,0,2,8,0,4,8,16
spawn,0,0,0,2,0,0,0,8,0,0,2,8,0,4,8,16
invalid,0,0,0,2,0,0,0,8,0,0,2,8,0,4,8,16
invalid,0,0,0,2,0,0,0,8,0,0,2,8,0,4,8,16
merge,0,0,0,0,0,0,0,2,0,0,2,16,0,4,8,16
spawn,0,0,0,0,0,4,0,2,0,0,2,16,0,4,8,16
merge,0,0,0,0,0,0,4,2,0,0,2,16,0,4,8,16
spawn,0,0,0,4,0,0,4,2,0,0,2,16,0,4,8,16
merge,0,0,0,0,0,0,4,4,0,0,2,2,0,4,8,32
spawn,0,0,2,0,0,0,4,4,0,0,2,2,0,4,8,32
merge,0,0,0,2,0,0,0,8,0,0,0,4,0,4,8,32
spawn,0,0,0,2,0,0,0,8,2,0,0,4,0,4,8,32
merge,0,0,0,2,0,0,0,8,0,0,2,4,0,4,8,32
spawn,0,4,0,2,0,0,0,8,0,0,2,4,0,4,8,32
merge,0,0,4,2,0,0,0,8,0,0,2,4,0,4,8,32
spawn,0,0,4,2,2,0,0,8,0,0,2,4,0,4,8,32
merge,0,0,4,2,0,0,2,8,0,0,2,4,0,4,8,32
spawn,0,0,4,2,2,0,2,8,0,0,2,4,0,4,8,32
merge,0,0,0,2,0,0,4,8,0,0,4,4,2,4,8,32
spawn,0,0,0,2,4,0,4,8,0,0,4,4,2,4,8,32
merge,0,0,0,2,0,0,8,8,0,0,0,8,2,4,8,32
spawn,0,0,0,2,0,0,8,8,0,2,0,8,2,4,8,32
merge,0,0,0,2,0,0,0,16,0,0,2,8,2,4,8,32
spawn,0,2,0,2,0,0,0,16,0,0,2,8,2,4,8,32
merge,0,0,0,4,0,0,0,16,0,0,2,8,2,4,8,32
spawn,0,0,0,4,0,2,0,16,0,0,2,8,2,4,8,32
merge,0,0,0,4,0,0,2,16,0,0,2,8,2,4,8,32
spawn,0,0,0,4,0,2,2,16,0,0,2,8,2,4,8,32
merge,0,0,0,4,0,0,0,16,0,2,4,8,2,4,8,32
spawn,2,0,0,4,0,0,0,16,0,2,4,8,2,4,8,32
merge,0,0,2,4,0,0,0,16,0,2,4,8,2,4,8,32
spawn,0,0,2,4,0,2,0,16,0,2,4,8,2,4,8,32
merge,0,0,0,4,0,0,2,16,0,4,4,8,2,4,8,32
spawn,0,2,0,4,0,0,2,16,0,4,4,8,2,4,8,32
merge,0,0,2,4,0,0,2,16,0,0,8,8,2,4,8,32
spawn,4,0,2,4,0,0,2,16,0,0,8,8,2,4,8,32
merge,0,4,2,4,0,0,2,16,0,0,0,16,2,4,8,32
spawn,0,4,2,4,0,0,2,16,0,0,2,16,2,4,8,32
merge,0,0,0,0,0,0,2,4,0,0,4,32,2,8,8,32
spawn,0,0,0,0,0,0,2,4,0,2,4,32,2,8,8,32
merge,0,0,0,0,0,0,2,0,0,2,4,4,2,8,8,64
spawn,0,0,0,0,0,0,2,2,0,2,4,4,2,8,8,64
merge,0,0,0,0,0,0,0,4,0,0,2,8,0,2,16,64
spawn,0,0,0,4,0,0,0,4,0,0,2,8,0,2,16,64
merge,0,0,0,0,0,0,0,8,0,0,2,8,0,2,16,64
spawn,2,0,0,0,0,0,0,8,0,0,2,8,0,2,16,64
merge,0,0,0,2,0,0,0,8,0,0,2,8,0,2,16,64
spawn,0,0,0,2,0,0,0,8,2,0,2,8,0,2,16,64
merge,0,0,0,0,0,0,0,2,0,0,2,16,2,2,16,64
spawn,0,0,0,2,0,0,0,2,0,0,2,16,2,2,16,64
merge,0,0,0,0,0,0,0,4,0,0,2,16,2,2,16,64
spawn,0,2,0,0,0,0,0,4,0,0,2,16,2,2,16,64
merge,0,0,0,2,0,0,0,4,0,0,2,16,0,4,16,64
spawn,0,0,0,2,0,2,0,4,0,0,2,16,0,4,16,64
merge,0,0,0,2,0,0,2,4,0,0,2,16,0,4,16,64
spawn,2,0,0,2,0,0,2,4,0,0,2,16,0,4,16,64
merge,0,0,0,4,0,0,2,4,0,0,2,16,0,4,16,64
spawn,0,0,0,4,0,0,2,4,0,0,2,16,2,4,16,64
merge,0,0,0,0,0,0,0,8,0,0,4,16,2,4,16,64
spawn,0,0,2,0,0,0,0,8,0,0,4,16,2,4,16,64
merge,0,0,0,2,0,0,0,8,0,0,4,16,2,4,16,64
spawn,0,0,0,2,0,0,2,8,0,0,4,16,2,4,16,64
invalid,0,0,0,2,0,0,2,8,0,0,4,16,2,4,16,64
merge,2,4,2,2,0,0,4,8,0,0,16,16,0,0,0,64
spawn,2,4,2,2,0,0,4,8,2,0,16,16,0,0,0,64
merge,0,0,0,2,0,0,2,8,0,0,4,16,4,4,16,64
spawn,0,0,0,2,2,0,2,8,0,0,4,16,4,4,16,64
merge,0,0,0,2,0,0,4,8,0,0,4,16,0,8,16,64
spawn,0,0,0,2,0,2,4,8,0,0,4,16,0,8,16,64
invalid,0,0,0,2,0,2,4,8,0,0,4,16,0,8,16,64
merge,0,2,8,2,0,8,16,8,0,0,0,16,0,0,0,64
spawn,0,2,8,2,4,8,16,8,0,0,0,16,0,0,0,64
merge,0,0,0,2,0,0,0,8,0,2,8,16,4,8,16,64
spawn,0,0,0,2,0,0,0,8,2,2,8,16,4,8,16,64
merge,0,0,0,2,0,0,0,8,0,4,8,16,4,8,16,64
spawn,0,0,0,2,0,0,2,8,0,4,8,16,4,8,16,64
merge,4,4,2,2,0,8,8,8,0,0,16,16,0,0,0,64
spawn,4,4,2,2,0,8,8,8,0,0,16,16,0,0,2,64
merge,0,0,8,4,0,0,8,16,0,0,0,32,0,0,2,64
spawn,0,0,8,4,0,0,8,16,0,0,0,32,0,2,2,64
merge,0,0,0,4,0,0,0,16,0,0,16,32,0,2,2,64
spawn,0,0,0,4,0,0,2,16,0,0,16,32,0,2,2,64
merge,0,2,2,4,0,0,16,16,0,0,2,32,0,0,0,64
spawn,0,2,2,4,0,0,16,16,0,0,2,32,0,0,2,64
merge,0,0,4,4,0,0,0,32,0,0,2,32,0,0,2,64
spawn,2,0,4,4,0,0,0,32,0,0,2,32,0,0,2,64
merge,0,0,2,8,0,0,0,32,0,0,2,32,0,0,2,64
spawn,0,2,2,8,0,0,0,32,0,0,2,32,0,0,2,64
merge,0,0,4,8,0,0,0,32,0,0,2,32,0,0,2,64
spawn,2,0,4,8,0,0,0,32,0,0,2,32,0,0,2,64
merge,0,0,0,0,0,0,0,8,0,0,4,64,2,0,4,64
spawn,0,0,0,2,0,0,0,8,0,0,4,64,2,0,4,64
merge,0,0,0,0,0,0,0,2,0,0,0,8,2,0,8,128
spawn,0,0,0,0,2,0,0,2,0,0,0,8,2,0,8,128
merge,0,0,0,0,0,0,0,4,0,0,0,8,0,2,8,128
spawn,0,0,2,0,0,0,0,4,0,0,0,8,0,2,8,128
merge,0,0,0,2,0,0,0,4,0,0,0,8,0,2,8,128
spawn,0,0,0,2,0,0,0,4,0,0,2,8,0,2,8,128
merge,0,2,2,2,0,0,8,4,0,0,0,8,0,0,0,128
spawn,0,2,2,2,0,0,8,4,2,0,0,8,0,0,0,128
merge,0,0,2,4,0,0,8,4,0,0,2,8,0,0,0,128
spawn,0,0,2,4,2,0,8,4,0,0,2,8,0,0,0,128
merge,0,0,0,0,0,0,2,8,0,0,8,8,2,0,2,128
spawn,0,0,0,0,2,0,2,8,0,0,8,8,2,0,2,128
merge,0,0,0,0,0,0,4,8,0,0,0,16,0,0,4,128
spawn,0,2,0,0,0,0,4,8,0,0,0,16,0,0,4,128
merge,0,0,0,2,0,0,4,8,0,0,0,16,0,0,4,128
spawn,0,0,0,2,0,0,4,8,0,0,0,16,2,0,4,128
merge,0,0,0,2,0,0,0,8,0,0,0,16,2,0,8,128
spawn,4,0,0,2,0,0,0,8,0,0,0,16,2,0,8,128
merge,0,0,4,2,0,0,0,8,0,0,0,16,0,2,8,128
spawn,0,0,4,2,0,0,0,8,0,0,0,16,2,2,8,128
merge,2,2,4,2,0,0,8,8,0,0,0,16,0,0,0,128
spawn,2,2,4,2,0,0,8,8,0,0,0,16,0,2,0,128
merge,0,4,4,2,0,0,0,16,0,0,0,16,0,0,2,128
spawn,0,4,4,2,2,0,0,16,0,0,0,16,0,0,2,128
merge,0,0,0,0,0,0,0,2,0,0,4,32,2,4,2,128
spawn,4,0,0,0,0,0,0,2,0,0,4,32,2,4,2,128
merge,0,0,0,4,0,0,0,2,0,0,4,32,2,4,2,128
spawn,0,0,0,4,0,0,0,2,2,0,4,32,2,4,2,128
merge,0,0,0,4,0,0,0,2,0,2,4,32,2,4,2,128
spawn,0,0,0,4,0,2,0,2,0,2,4,32,2,4,2,128
merge,0,0,0,4,0,0,0,4,0,2,4,32,2,4,2,128
spawn,0,0,0,4,0,0,2,4,0,2,4,32,2,4,2,128
merge,0,0,0,0,0,0,2,8,0,2,4,32,2,4,2,128
spawn,0,0,0,0,0,2,2,8,0,2,4,32,2,4,2,128
merge,0,0,0,0,0,0,4,8,0,2,4,32,2,4,2,128
spawn,2,0,0,0,0,0,4,8,0,2,4,32,2,4,2,128
merge,0,0,0,2,0,0,4,8,0,2,4,32,2,4,2,128
spawn,0,0,2,2,0,0,4,8,0,2,4,32,2,4,2,128
merge,2,2,2,2,0,4,8,8,0,0,2,32,0,0,0,128
spawn,2,2,2,2,2,4,8,8,0,0,2,32,0,0,0,128
merge,0,0,4,4,0,2,4,16,0,0,2,32,0,0,0,128
spawn,0,0,4,4,0,2,4,16,0,0,2,32,0,2,0,128
merge,0,0,0,8,0,2,4,16,0,0,2,32,0,0,2,128
spawn,0,0,0,8,0,2,4,16,2,0,2,32,0,0,2,128
merge,0,0,0,8,0,0,0,16,0,0,4,32,2,2,4,128
spawn,0,0,4,8,0,0,0,16,0,0,4,32,2,2,4,128
merge,2,2,8,8,0,0,4,16,0,0,0,32,0,0,0,128
spawn,2,2,8,8,2,0,4,16,0,0,0,32,0,0,0,128
merge,0,0,4,16,0,2,4,16,0,0,0,32,0,0,0,128
spawn,0,0,4,16,2,2,4,16,0,0,0,32,0,0,0,128
merge,0,0,4,16,0,4,4,16,0,0,0,32,0,0,0,128
spawn,0,0,4,16,2,4,4,16,0,0,0,32,0,0,0,128
merge,0,0,4,16,0,2,8,16,0,0,0,32,0,0,0,128
spawn,0,0,4,16,0,2,8,16,0,0,0,32,2,0,0,128
merge,0,0,0,0,0,0,0,32,0,0,4,32,2,2,8,128
spawn,0,0,0,0,0,2,0,32,0,0,4,32,2,2,8,128
merge,0,0,0,0,0,0,2,32,0,0,4,32,0,4,8,128
spawn,0,0,0,0,0,0,2,32,0,2,4,32,0,4,8,128
invalid,0,0,0,0,0,0,2,32,0,2,4,32,0,4,8,128
merge,0,0,0,0,0,0,2,0,0,2,4,64,0,4,8,128
spawn,0,0,0,0,2,0,2,0,0,2,4,64,0,4,8,128
merge,0,0,0,0,0,0,0,4,0,2,4,64,0,4,8,128
spawn,0,2,0,0,0,0,0,4,0,2,4,64,0,4,8,128
merge,0,0,0,2,0,0,0,4,0,2,4,64,0,4,8,128
spawn,0,0,0,2,0,0,2,4,0,2,4,64,0,4,8,128
invalid,0,0,0,2,0,0,2,4,0,2,4,64,0,4,8,128
merge,0,2,2,2,0,4,4,4,0,0,8,64,0,0,0,128
spawn,0,2,2,2,0,4,4,4,0,0,8,64,0,2,0,128
merge,0,0,0,2,0,2,2,4,0,4,4,64,0,2,8,128
spawn,0,0,0,2,2,2,2,4,0,4,4,64,0,2,8,128
merge,0,0,0,2,0,2,4,4,0,0,8,64,0,2,8,128
spawn,0,0,0,2,0,2,4,4,0,2,8,64,0,2,8,128
merge,0,0,0,2,0,0,2,8,0,2,8,64,0,2,8,128
spawn,0,0,0,2,4,0,2,8,0,2,8,64,0,2,8,128
merge,4,4,2,2,0,0,16,8,0,0,0,64,0,0,0,128
spawn,4,4,2,2,0,0,16,8,0,0,2,64,0,0,0,128
merge,0,0,0,2,0,0,2,8,0,0,16,64,4,4,2,128
spawn,0,0,2,2,0,0,2,8,0,0,16,64,4,4,2,128
merge,0,0,0,4,0,0,2,8,0,0,16,64,0,8,2,128
spawn,2,0,0,4,0,0,2,8,0,0,16,64,0,8,2,128
merge,2,8,2,4,0,0,16,8,0,0,2,64,0,0,0,128
spawn,2,8,2,4,2,0,16,8,0,0,2,64,0,0,0,128
merge,2,8,2,4,0,2,16,8,0,0,2,64,0,0,0,128
spawn,2,8,2,4,2,2,16,8,0,0,2,64,0,0,0,128
merge,0,0,0,4,0,0,2,8,0,8,16,64,4,2,2,128
spawn,0,0,0,4,2,0,2,8,0,8,16,64,4,2,2,128
merge,0,0,0,4,0,0,4,8,0,8,16,64,0,4,4,128
spawn,0,0,2,4,0,0,4,8,0,8,16,64,0,4,4,128
merge,0,8,2,4,0,4,4,8,0,0,16,64,0,0,4,128
spawn,0,8,2,4,0,4,4,8,0,2,16,64,0,0,4,128
merge,0,8,2,4,0,0,8,8,0,2,16,64,0,0,4,128
spawn,0,8,2,4,0,0,8,8,0,2,16,64,0,2,4,128
merge,0,8,2,4,0,0,0,16,0,2,16,64,0,2,4,128
spawn,0,8,2,4,2,0,0,16,0,2,16,64,0,2,4,128
merge,2,8,2,4,0,4,16,16,0,0,4,64,0,0,0,128
spawn,2,8,2,4,0,4,16,16,0,2,4,64,0,0,0,128
merge,2,8,2,4,0,0,4,32,0,2,4,64,0,0,0,128
spawn,2,8,2,4,0,0,4,32,0,2,4,64,0,2,0,128
merge,0,0,0,4,0,0,0,32,0,8,2,64,2,4,8,128
spawn,0,2,0,4,0,0,0,32,0,8,2,64,2,4,8,128
merge,0,0,2,4,0,0,0,32,0,8,2,64,2,4,8,128
spawn,2,0,2,4,0,0,0,32,0,8,2,64,2,4,8,128
merge,4,8,4,4,0,4,8,32,0,0,0,64,0,0,0,128
spawn,4,8,4,4,0,4,8,32,0,2,0,64,0,0,0,128
merge,0,4,8,8,0,4,8,32,0,0,2,64,0,0,0,128
spawn,0,4,8,8,2,4,8,32,0,0,2,64,0,0,0,128
merge,0,0,4,16,2,4,8,32,0,0,2,64,0,0,0,128
spawn,0,0,4,16,2,4,8,32,0,0,2,64,0,0,2,128
merge,2,4,4,16,0,0,8,32,0,0,4,64,0,0,0,128
spawn,2,4,4,16,0,0,8,32,0,0,4,64,0,2,0,128
merge,0,2,8,16,0,0,8,32,0,0,4,64,0,0,2,128
spawn,0,2,8,16,0,0,8,32,0,2,4,64,0,0,2,128
merge,0,4,16,16,0,0,4,32,0,0,2,64,0,0,0,128
spawn,0,4,16,16,0,0,4,32,0,0,2,64,0,2,0,128
merge,0,0,4,32,0,0,4,32,0,0,2,64,0,0,2,128
spawn,0,0,4,32,0,0,4,32,0,0,2,64,2,0,2,128
merge,0,0,0,0,0,0,0,64,0,0,8,64,2,0,4,128
spawn,0,2,0,0,0,0,0,64,0,0,8,64,2,0,4,128
merge,0,0,0,0,0,0,0,0,0,0,8,128,2,2,4,128
spawn,0,0,0,0,0,0,0,0,2,0,8,128,2,2,4,128
merge,0,0,0,0,0,0,0,0,0,0,8,0,4,2,4,256
spawn,0,0,0,0,0,2,0,0,0,0,8,0,4,2,4,256
merge,0,0,0,0,0,0,0,2,0,0,0,8,4,2,4,256
spawn,0,0,0,0,0,0,0,2,0,2,0,8,4,2,4,256
merge,0,0,0,0,0,0,0,2,0,0,2,8,4,2,4,256
spawn,0,0,0,0,0,0,0,2,0,2,2,8,4,2,4,256
merge,0,0,0,0,0,0,0,2,0,0,4,8,4,2,4,256
spawn,0,0,2,0,0,0,0,2,0,0,4,8,4,2,4,256
merge,0,0,0,2,0,0,0,2,0,0,4,8,4,2,4,256
spawn,2,0,0,2,0,0,0,2,0,0,4,8,4,2,4,256
merge,0,0,0,0,0,0,0,4,2,0,0,8,4,2,8,256
spawn,0,0,2,0,0,0,0,4,2,0,0,8,4,2,8,256
merge,0,0,0,2,0,0,0,4,0,0,2,8,4,2,8,256
spawn,0,0,0,2,4,0,0,4,0,0,2,8,4,2,8,256
merge,0,0,0,2,0,0,0,8,0,0,2,8,4,2,8,256
spawn,0,0,0,2,0,0,0,8,2,0,2,8,4,2,8,256
